2025-09-15 15:05:48 | lr:0.01 | seed:1 | epoch 0: | Train_loss: 13667555.2582, | Train_acc: 45.35%, Val_acc: 58.7696%(correct=5042492, total=8580096)
2025-09-15 15:05:51 | lr:0.01 | seed:1 | epoch 1: | Train_loss: 2659428.5168, | Train_acc: 55.44%, Val_acc: 26.8926%(correct=2307410, total=8580096)
2025-09-15 15:05:53 | lr:0.01 | seed:1 | epoch 2: | Train_loss: 1212743.0276, | Train_acc: 55.36%, Val_acc: 68.6987%(correct=5894414, total=8580096)
2025-09-15 15:05:56 | lr:0.01 | seed:1 | epoch 3: | Train_loss: 1976651.1847, | Train_acc: 57.85%, Val_acc: 53.2715%(correct=4570744, total=8580096)
2025-09-15 15:05:59 | lr:0.01 | seed:1 | epoch 4: | Train_loss: 355012.3690, | Train_acc: 60.76%, Val_acc: 63.6507%(correct=5461295, total=8580096)
2025-09-15 15:06:01 | lr:0.01 | seed:1 | epoch 5: | Train_loss: 183571.2445, | Train_acc: 63.40%, Val_acc: 21.3893%(correct=1835220, total=8580096)
2025-09-15 15:06:04 | lr:0.01 | seed:1 | epoch 6: | Train_loss: 207784.1743, | Train_acc: 63.01%, Val_acc: 46.7961%(correct=4015148, total=8580096)
2025-09-15 15:06:07 | lr:0.01 | seed:1 | epoch 7: | Train_loss: 201311.5005, | Train_acc: 58.84%, Val_acc: 71.7368%(correct=6155087, total=8580096)
2025-09-15 15:06:10 | lr:0.01 | seed:1 | epoch 8: | Train_loss: 103060.1587, | Train_acc: 64.68%, Val_acc: 47.8677%(correct=4107095, total=8580096)
2025-09-15 15:06:13 | lr:0.01 | seed:1 | epoch 9: | Train_loss: 51158.6533, | Train_acc: 63.81%, Val_acc: 72.2437%(correct=6198577, total=8580096)
2025-09-15 15:06:15 | lr:0.01 | seed:1 | epoch 10: | Train_loss: 52814.5171, | Train_acc: 66.13%, Val_acc: 56.0471%(correct=4808896, total=8580096)
2025-09-15 15:06:18 | lr:0.01 | seed:1 | epoch 11: | Train_loss: 35063.7702, | Train_acc: 67.04%, Val_acc: 69.9744%(correct=6003870, total=8580096)
2025-09-15 15:06:21 | lr:0.01 | seed:1 | epoch 12: | Train_loss: 19987.8942, | Train_acc: 69.59%, Val_acc: 41.1134%(correct=3527571, total=8580096)
2025-09-15 15:06:24 | lr:0.01 | seed:1 | epoch 13: | Train_loss: 7817.9257, | Train_acc: 66.92%, Val_acc: 41.1212%(correct=3528237, total=8580096)
2025-09-15 15:06:26 | lr:0.01 | seed:1 | epoch 14: | Train_loss: 6194.8814, | Train_acc: 68.06%, Val_acc: 72.6420%(correct=6232751, total=8580096)
2025-09-15 15:06:29 | lr:0.01 | seed:1 | epoch 15: | Train_loss: 6075.8026, | Train_acc: 65.74%, Val_acc: 73.8558%(correct=6336900, total=8580096)
2025-09-15 15:06:32 | lr:0.01 | seed:1 | epoch 16: | Train_loss: 4940.7625, | Train_acc: 67.76%, Val_acc: 73.2419%(correct=6284228, total=8580096)
2025-09-15 15:06:35 | lr:0.01 | seed:1 | epoch 17: | Train_loss: 803.3833, | Train_acc: 67.45%, Val_acc: 73.0309%(correct=6266125, total=8580096)
2025-09-15 15:06:38 | lr:0.01 | seed:1 | epoch 18: | Train_loss: 558.8331, | Train_acc: 68.00%, Val_acc: 68.5783%(correct=5884087, total=8580096)
2025-09-15 15:06:40 | lr:0.01 | seed:1 | epoch 19: | Train_loss: 211.5653, | Train_acc: 71.01%, Val_acc: 64.6341%(correct=5545665, total=8580096)
2025-09-15 15:06:43 | lr:0.01 | seed:1 | epoch 20: | Train_loss: 101.5401, | Train_acc: 69.23%, Val_acc: 68.9934%(correct=5919696, total=8580096)
2025-09-15 15:06:46 | lr:0.01 | seed:1 | epoch 21: | Train_loss: 22.6723, | Train_acc: 70.01%, Val_acc: 73.4859%(correct=6305161, total=8580096)
2025-09-15 15:06:49 | lr:0.01 | seed:1 | epoch 22: | Train_loss: 9.7646, | Train_acc: 72.36%, Val_acc: 58.7916%(correct=5044377, total=8580096)
2025-09-15 15:06:52 | lr:0.01 | seed:1 | epoch 23: | Train_loss: 3.6098, | Train_acc: 72.31%, Val_acc: 68.7570%(correct=5899416, total=8580096)
2025-09-15 15:06:55 | lr:0.01 | seed:1 | epoch 24: | Train_loss: 1.7840, | Train_acc: 74.16%, Val_acc: 73.1230%(correct=6274026, total=8580096)
2025-09-15 15:06:57 | lr:0.01 | seed:1 | epoch 25: | Train_loss: 1.1416, | Train_acc: 77.88%, Val_acc: 66.4259%(correct=5699409, total=8580096)
2025-09-15 15:07:00 | lr:0.01 | seed:1 | epoch 26: | Train_loss: 0.9896, | Train_acc: 78.92%, Val_acc: 73.8222%(correct=6334018, total=8580096)
2025-09-15 15:07:03 | lr:0.01 | seed:1 | epoch 27: | Train_loss: 0.8795, | Train_acc: 79.99%, Val_acc: 73.6874%(correct=6322449, total=8580096)
2025-09-15 15:07:05 | lr:0.01 | seed:1 | epoch 28: | Train_loss: 0.7927, | Train_acc: 80.04%, Val_acc: 73.8678%(correct=6337931, total=8580096)
2025-09-15 15:07:08 | lr:0.01 | seed:1 | epoch 29: | Train_loss: 0.7030, | Train_acc: 81.43%, Val_acc: 73.1615%(correct=6277326, total=8580096)
2025-09-15 15:07:11 | lr:0.01 | seed:1 | epoch 30: | Train_loss: 0.6420, | Train_acc: 82.64%, Val_acc: 73.1615%(correct=6277326, total=8580096)
